brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Available Stock
HP,Notebook,14 Inches,Grey,1 TB,Ryzen 3 3250U,16 GB,Windows 11,Anti Glare Coating,Integrated,,,4.4,1689.0,59,99651.0,460.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,1077.24,16,17235.84,456.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1699.0,30,50970.0,397.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1850.52,14,25907.28,261.0
ACER,Nitro 17,17.3 Inches,Black,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.4,1531.28,39,59719.92,277.0
HP,hp laptop,15.6 Inches,,1 TB,Intel Core i3,16 GB,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,,4.2,1799.95,17,30599.15,162.0
GATEWAY,,11.6 Inches,Blue,64 GB,Celeron N4020,4 GB,Windows 10 S,,Integrated,Intel,1.1 GHz,4.0,999.99,26,25999.74,221.0
ASUS,FX506HF-ES51,15.6 Inches,Graphite Black,512 GB,Core i5,8 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.5,2179.05,37,80624.85,206.0
MSI,Thin GF63 12VE-066US,15.6 Inches,,512 GB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4050,,,4.5,374.99,55,20624.45,432.0
LENOVO,IdeaPad 3 81X800ENUS,15.6 Inches,Almond,256 GB,Core i3,20 GB,Windows 11,Backlit Keyboard,Integrated,,,4.3,639.99,23,14719.77,158.0
LENOVO,IdeaPad Gaming 3,15.6 Inches,Onyx Grey,256 GB,Ryzen 5,8 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.3,84.54,49,4142.46,299.0
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,1 TB,Intel Core i9,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.5,589.99,50,29499.5,140.0
HP,Chromebook 14a-na0226nr,14 Inches,Mineral Silver,64,Celeron,4 GB,Chrome OS,Anti-Glare,Integrated,,,4.4,2255.92,37,83469.04,371.0
HP,TPN-I139_320M3AV,17.3 Inches,Silver,1 TB,Core i3 Family,32 GB,Windows 11 Home,HD Audio,Integrated,,,4.6,1102.99,58,63973.42,353.0
HP,i5 12th Gen 15-dy5399nr,15.6 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,Micro-edge Bezel,Integrated,,,4.3,1499.99,34,50999.66,333.0
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,,Core i9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,4.3,858.98,38,32641.24,317.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,389.99,24,9359.76,307.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,3785.54,29,109780.66,145.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1669.0,17,28373.0,340.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,22,21999.78,356.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1698.49,15,25477.35,369.0
LENOVO,IdeaPad,14 Inches,Grey,1 TB,Core i3 Family,20 GB,Windows 11 Home,Dolby,Integrated,,,4.3,639.99,64,40959.36,130.0
HP,HP Chromebook,14 Inches,Gray,64 GB,Celeron N,4 GB,Chrome OS,,Integrated,Intel UHD Graphics 600,,3.8,2539.99,16,40639.84,321.0
LENOVO,Ideapad 3i,15.6 Inches,Arctic Grey,512 GB,Core i5,8 GB,Windows 11 Pro,Anti Glare Coating,Integrated,,,4.5,589.99,31,18289.69,127.0
DELL,Inspiron,15.6 Inches,Black,1 TB,Celeron N4020,16 GB,Windows 11 Home,Anti Glare Coating,Integrated,,,4.1,2738.99,29,79430.71,206.0
ACER,CP314-1H-P1Q5,14 Inches,Silver,128 GB,Pentium,8 GB,Chrome OS,,Integrated,Intel UHD Graphics,,4.3,999.99,42,41999.58,374.0
MSI,Katana 15 B13VGK-484US,15.6 Inches,,1 TB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4070,NVIDIA GeForce RTX 4070,,4.3,1885.99,56,105615.44,257.0
LENOVO,IdeaPad 3,14 Inches,Gray,128 GB,Core i3 Family,8 GB,Windows 11 S,"Dolby,Narrow Bezel",Integrated,,,4.5,1406.04,57,80144.28,147.0
ASUS,ASUS Vivobook Go 15,15.6 Inches,Star Black,64 GB,Celeron,4 GB,Windows 11 S,Thin-bezel,Integrated,,,4.1,589.99,54,31859.46,390.0
HP,HP Laptop 15-ef2024nr,15 Inches,Natural silver,256 GB,Ryzen 3,8 GB,Windows 11 Home,,Integrated,,,4.5,999.99,13,12999.87,481.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,3299.0,34,112166.0,295.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1450.77,32,46424.64,84.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,57.99,35,2029.65,336.0
ASUS,UX5304VA-XS76T,13.3 Inches,Gray,1 TB,Core i7,32 GB,Windows 11 Pro,Dolby,Integrated,,,4.3,765.75,58,44413.5,210.0
ASUS,ROG Strix G15,15.6 Inches,Eclipse Gray,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.6,1068.99,42,44897.58,121.0
LENOVO,IdeaPad 3,15.6 Inches,Blue,64 GB,Celeron P4500,8 GB,Chrome OS,Narrow,Integrated,,,4.2,749.99,63,47249.37,158.0
ACER,"2023 Newest Acer 15.6"" Chromebook",15.6 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Anti-glare,Integrated,,,4.2,429.0,15,6435.0,396.0
ASUS,Chromebook C425 Clamshell,14 Inches,Silver,128 GB,Celeron N4020,4 GB,Chrome OS,"Anti-glare,Ultra-narrow Bezel",Integrated,,,4.3,639.99,49,31359.51,178.0
LENOVO,Flex 5,14 Inches,,256 GB,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,,Integrated,AMD Radeon R5,2.1 GHz,4.2,1699.0,50,84950.0,122.0
ACER,A115-32-C96U,15.6 Inches,Silver,128 GB,Celeron N,4 GB,Windows 11 S,,Integrated,Intel UHD Graphics,,4.3,2467.69,65,160399.85,277.0
ASUS,ROG Flow Z13,13.4 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,Stylus,Dedicated,,,4.4,639.99,19,12159.81,144.0
HP,HP,15.6 Inches,Touchscreen,1 TB,Core i3-1115G4E,16 GB,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,4.5,1599.0,40,63960.0,238.0
ASUS,ROG Strix SCAR 16,16 Inches,Off Black,2 TB,Core i9,32 GB,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.1,639.99,54,34559.46,464.0
ASUS,ROG Strix SCAR 18,18 Inches,Black,2 TB,Intel Core i9,32 GB,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.3,459.99,51,23459.49,81.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,3399.0,52,176748.0,387.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,1657.21,20,33144.2,425.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,389.99,35,13649.65,107.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1559.0,26,40534.0,211.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,2742.99,43,117948.57,277.0
LG,17Z90Q-K.ADB9U1,17 Inches,Black,2 TB,Core i7,32 GB,Windows 11 Home,Lightweight,Intel XE,,,4.3,999.99,57,56999.43,368.0
ASUS,ROG Flow Z13,13.4 Inches,Acronym,1 TB,Core i9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,,4.2,1094.99,29,31754.71,219.0
LENOVO,Chromebook,11.6 Inches,Black,32 GB,MediaTek MT8183,4 GB,Chrome OS,Anti-glare,Integrated,,,4.3,999.99,56,55999.44,435.0
MICROSOFT,Surface Laptop,15 Inches,Platinum,512 GB,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, Support Stylus",Integrated,,,4.4,807.99,45,36359.55,374.0
ASUS,TUF Dash 15 (2022),15.6 Inches,Off Black,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,RTX 3060,,,4.5,3116.99,40,124679.6,167.0
ASUS,TUF Gaming A15,15.6 Inches,Mecha Gray,1 TB,Ryzen 7,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,4.3,459.99,33,15179.67,223.0
HP,14-dq0070nr,14 Inches,Pale rose gold,64 GB,Celeron N4020,4 GB,Windows 11 S,Micro-edge Bezel,Integrated,,,4.3,228.0,44,10032.0,182.0
ASUS,ROG Strix Scar 17,17.3 Inches,Off Black,1 TB,Ryzen 9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4080,,4.1,640.99,58,37177.42,206.0
ACER,A3SP14-31PT-37NV,14 Inches,Silver,128 GB,Core i3,8 GB,Windows 11 S,Pen,Integrated,,,4.5,589.99,37,21829.63,391.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,999.99,30,29999.7,365.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,1748.04,58,101386.32,420.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,459.99,13,5979.87,169.0
ASUS,ASUS TUF Gaming F1,17.3 Inches,Graphite Black,512 GB,Core i5,8 GB,Windows 11 Home,Numeric Keypad,RTX 3050,,,4.5,729.99,59,43069.41,254.0
LENOVO,IdeaPad Flex 5i Chromebook,13.3 Inches,Abyss Blue,128 GB,Core i3,8 GB,Chrome OS,Anti Glare Coating,Integrated,,,4.4,459.99,38,17479.62,450.0
HP,,15.6 Inches,Silver,1 TB,Intel Core i5,16 GB,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,4.1,658.99,20,13179.8,332.0
DELL,Dell Latitude,14 Inches,Black,512 GB,Core i7-8650U,16 GB,Windows 10 Pro,TrackPoint,Integrated,,,4.0,1199.0,33,39567.0,86.0
HP,Chromebook 11 G9 EE,11.6 Inches,,,Celeron,4 GB,Chrome OS,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,2.6 GHz,5.0,389.99,56,21839.44,260.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,639.99,43,27519.57,495.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,239.0,39,9321.0,406.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,999.99,63,62999.37,224.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,2199.99,12,26399.88,443.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1999.0,32,63968.0,246.0
ACER,Swift Go 14,14 Inches,Silver,512 GB,Intel Core i7-1355U,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.3,2099.99,50,104999.5,206.0
ASUS,VivoBook S 15,15.6 Inches,Midnight Black,1 TB,Core i9,16 GB,Windows 11 Home,,Integrated,Intel Iris,,3.7,1599.99,32,51199.68,238.0
APPLE,MacBook Pro,16.2 Inches,Space Gray,512 GB,ARM 7100,32 GB,macOS 12 Monterey,,Integrated,M1 Pro,,4.7,1327.99,48,63743.52,364.0
ACER,Aspire 5,15.6 Inches,Silver,256 GB,AMD Ryzen 5 5500U,8 GB,Windows 11,Backlit Keyboard,Integrated,,,4.4,1764.99,29,51184.71,317.0
APPLE,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)",13.6 Inches,,512 GB,Apple M1,16 GB,macOS 12 Monterey,Fingerprint Reader,Integrated,Apple Integrated Graphics,,4.8,245.0,36,8820.0,354.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,53,20669.47,123.0
SAMSUNG,NP754XFG-KB1US,15.6 Inches,Silver,16 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,4.8,732.0,60,43920.0,231.0
MICROSOFT,Surface Laptop Studio 2,14.4 Inches,Platinum,2 TB,Core i7-13700K,64 GB,Windows 11 Home,Portable,NVIDIA® GeForce RTX™ 4060,,,,999.99,55,54999.45,445.0
ASUS,Zenbook 15,15.6 Inches,Basalt Grey,1 TB,Ryzen 7,32 GB,Windows 11 Home,Dolby,Integrated,,,4.3,899.99,44,39599.56,117.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,1757.57,16,28121.12,251.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,999.99,26,25999.74,251.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,1599.0,42,67158.0,309.0
SAMSUNG,Galaxy Book3 Pro,14 Inches,Graphite,,,,,,,,,4.4,999.99,18,17999.82,121.0
APPLE,MacBook Pro,13 Inches,,256 GB,Apple M1,16 GB,macOS 12 Monterey,,Integrated,,3.4 GHz,4.7,1469.0,65,95485.0,237.0
HP,HP 15 scarlet red,15.6 Inches,Silver,1 TB,Celeron,16 GB,Windows 11 Home,,Integrated,Intel UHD Graphics,,4.3,2492.99,25,62324.75,140.0
CARLISLE FOODSERVICE PRODUCTS,ASUS VivoBook L203,11.6 Inches,Black,64 GB,Celeron N4000,4 GB,Windows 10 S,,Integrated,Intel UHD Graphics 600,,4.2,2929.99,49,143569.51,216.0
GIGABYTE,G5 KF-E3US333SH,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,473.0,37,17501.0,422.0
ASUS,Vivobook 15X,15.6 Inches,Indie Black,1 TB,Ryzen 7,16 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,5.0,1699.0,49,83251.0,359.0
ACER,Chromebook Spin,11.6 Inches,Silver,64 GB,Celeron N4000,4 GB,Chrome OS,,Integrated,intel,,4.5,2912.99,42,122345.58,146.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1023.99,16,16383.84,145.0
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,864.99,57,49304.43,410.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1599.0,54,86346.0,423.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,613.99,53,32541.47,403.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,880.99,37,32596.63,155.0
ASUS,Zenbook Pro 14 Duo,14.5 Inches,Tech Black,1 TB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,428.45,27,11568.15,486.0
ASUS,ASUS Chromebook C203XA,11.6 Inches,Grey,32 GB,MediaTek_MT8127,4 GB,Chrome OS,Spill resistant,Integrated,,,4.3,639.99,58,37119.42,355.0
MSI,Stealth 17Studio A13VH-053US,17.3 Inches,,1 TB,Core i9,32 GB,Windows 11 Home,Anti Glare Coating,RTX 4080,NVIDIA GeForce RTX 4080,,4.2,1699.95,61,103696.95,146.0
LENOVO,Ideapad,15.6 Inches,Platinum Grey,256 GB,Intel Core i3,8 GB,Windows 11 Home,Anti Glare Coating,Intel UHD Graphics,,,4.3,1799.95,33,59398.35,415.0
MSI,MSI GF63,15.6 Inches,,512 GB,Core i5 Family,16 GB,Windows 10 Home,Backlit Keyboard,Dedicated,Nvidia,,4.1,930.0,22,20460.0,265.0
APPLE,"2022 Apple MacBook Air M2, 16GB RAM, 256GB Storage - Space Gray (Z15S000CT)",13.6 Inches,,256 GB,Apple M1,16 GB,macOS 12 Monterey,,Integrated,,3.4,5.0,589.99,44,25959.56,439.0
HP,EliteBook 840,14 Inches,Silver,256 GB,Core i5 6200U,16 GB,Windows 10 Pro,Anti Glare Coating,Integrated,,,4.0,3499.0,15,52485.0,84.0
ASUS,ProArt StudioBook 16,16 Inches,,1 TB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,3.7,1799.0,65,116935.0,102.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,735.59,52,38250.68,163.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,389.99,56,21839.44,84.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,997.74,54,53877.96,384.0
SAMSUNG,Chromebook 4+,15.6 Inches,Silver,64 GB,Celeron N3450,4 GB,Chrome OS,,Integrated,,1.1 GHz,4.4,589.99,51,30089.49,436.0
HP,"HP 14"" Chromebook",14 Inches,Dale Gray,128 GB,Core i3,8 GB,Chrome OS,High Quality,Integrated,,,3.9,2699.0,44,118756.0,286.0
ACER,Aspire 5,15.6 Inches,Silver,128 GB,Ryzen 3 3350U,4 GB,Windows 11,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.5,1599.0,47,75153.0,278.0
RAZER,Razer Blade 14,14 Inches,,1 TB,Ryzen 9 7900X,16 GB,Windows 11 Home,,RTX 4070,NVIDIA GeForce RTX 4070,,4.3,239.99,52,12479.48,200.0
ASUS,VivoBook 15,15.6 Inches,Slate Gray,128 GB,Core i3-1005G1,8 GB,Windows 10 Home,"Backlit Keyboard,Fingerprint,Nanoedge Bezel",Integrated,,,4.5,739.99,25,18499.75,488.0
ACER,PH16-71-74UU,16 Inches,Black,1 TB,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.5,2815.3,16,45044.8,207.0
ASUS,ASUS ROG Zephyrus Duo 16,16 Inches,Black,1000 GB,Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 3060,,,4.3,694.19,42,29155.98,320.0
ASUS,Vivobook Pro 15,15.6 Inches,Quiet Blue,1 TB,Ryzen 9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.6,1658.99,32,53087.68,272.0
DELL,XPS9310-7321WHT-SUS,13.4 Inches,White,512 GB,Core i7 Family,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.1,459.99,37,17019.63,93.0
DELL,Dell G15 5520,15.6 Inches,Shadow Grey,512 GB,Core i7 Family,16 GB,Windows 11 Home,,Dedicated,,,4.2,899.99,17,15299.83,307.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,2425.99,48,116447.52,452.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1699.0,47,79853.0,364.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,589.99,14,8259.86,493.0
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,1999.0,54,107946.0,466.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,389.99,49,19109.51,145.0
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,993.23,25,24830.75,440.0
ASUS,Vivobook 14,14 Inches,Quiet Blue,256 GB,Core i5,8 GB,Windows 11 Home,,Integrated,Intel Iris,,4.4,1599.0,61,97539.0,81.0
HP,HP Chromebook,16 Inches,Chalkboard Gray,32 GB,AMD A Series,4 GB,Chrome OS,Backlit Keyboard,Dedicated,,,4.3,1514.09,62,93873.58,285.0
LG,17Z90R-A.ADB9U1,17 Inches,Black,2 TB,Intel Core i7,32 GB,Windows 11 Home,,Dedicated,NVIDIA RTX3050,,3.7,959.0,35,33565.0,462.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,783.95,12,9407.4,263.0
ASUS,Vivobook 16X,16 Inches,Indie Black,1 TB,Core i9,32 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Spill resistant, High Definition Audio, Anti Glare Coating","Integrated, Dedicated",,,3.5,389.99,34,13259.66,373.0
ASUS,VivoBook Pro 16,16 Inches,Quiet Blue,1 TB,Core i9,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.0,979.0,35,34265.0,166.0
DELL,Latitude 5000,14 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,"Anti-glare Screen, Water Resistant",Iris Xe Graphics,,,4.8,1438.99,16,23023.84,177.0
ASUS,FX707ZC-ES53,17.3 Inches,Mecha Gray,,Core i5,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050,4.5 GHz,3.5,1305.17,38,49596.46,170.0
HP,HP 15,15.6 Inches,Silver,256 GB,Core i5,12 GB,Windows 11 S,"Touchscreen Laptop, Windows Laptop, i5 Laptop",Integrated,,,4.4,899.99,25,22499.75,280.0
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,639.99,30,19199.7,391.0
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,46,21159.54,183.0
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,459.99,20,9199.8,189.0
MICROSOFT,Surface Laptop Go 2,12.45 Inches,Platinum,256 GB,Intel Core i5,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,,4.4,322.98,64,20670.72,238.0
HP,,14 Inches,Rose Gold,64 GB,Celeron N,8 GB,Windows 11,Anti Glare Coating,,Intel HD Graphics 600,1.1 GHz,4.1,4888.99,61,298228.39,377.0
LENOVO,"Lenovo 14"" Laptop",14 Inches,Blue,512 GB,Intel Core i7,16 GB,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,,3.7,639.99,18,11519.82,313.0
LENOVO,L14,14 Inches,Platinum Grey,128 GB,Pentium,4 GB,Windows 11 S,,Integrated,Intel UHD Graphics 605,,4.0,589.99,49,28909.51,361.0
MSI,GF63 Thin,15.6 Inches,Black,256 GB,Unknown,8 GB,Windows 10,Anti Glare Coating,Dedicated,,,4.6,999.99,58,57999.42,343.0
APPLE,MacBook Pro,16 Inches,Space Gray,1 TB,Others,32 GB,Mac OS,Backlit Keyboard,Dedicated,,,3.0,459.99,38,17479.62,192.0
SAMSUNG,NP964XFG-KC1US,16 Inches,Graphite,,Intel Core i7,32 GB,Windows 11 Pro,,Integrated,,2.2 GHz,4.0,999.99,34,33999.66,294.0
ASUS,ASUS Chromebook CX1,15.6 Inches,Silver,64 GB,Celeron N3350,8 GB,Chrome OS,,Integrated,,2.4 GHz,4.1,1689.18,35,59121.3,286.0
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1159.95,51,59157.45,482.0
